proyecto,nombre_proyecto,tipo_proyecto,fase,actividad,material,unidad_medida,cantidad_material,costo_unitario,costo_material,dias_trabajados,duracion_estimada,duracion_real,retraso_dias,costo_mano_obra,costo_estimado,costo_real,diferencia_costo,porcentaje_desviacion,ciudad,clima,estado_costo,fecha_inicio,fecha_fin,offset_inicio,duracion_calculada
9,Centro Empresarial Nova,Comercial,Estructura,Armado,Acero,Kg,114,4500,513000,17,16,17,1,130000,2080000,2210000,-130000,-6.25,Bogotá,Lluvia,Sobrecosto,2025-03-20,2025-02-13,78,-35
5,Residencial Jardines del Sur,Residencial,Cimentación,Vaciado,Concreto,m3,13,350000,4550000,29,33,29,-4,130000,4290000,3770000,520000,12.12121212121212,Bogotá,Nublado,Ahorro,2025-04-15,2025-03-11,104,-35
5,Residencial Jardines del Sur,Residencial,Cimentación,Vaciado,Concreto,m3,12,350000,4200000,19,18,19,1,130000,2340000,2470000,-130000,-5.555555555555555,Bogotá,Lluvia,Sobrecosto,2025-04-19,2025-02-13,108,-65
4,Conjunto Horizonte Verde,Residencial,Equipamiento,Instalación closet,MDF,Unidad,7,200000,1400000,5,5,5,0,110000,550000,550000,0,0.0,Bogotá,Nublado,En presupuesto,2025-03-31,2025-01-16,89,-74
3,Residencial Altos del Norte,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,3,250000,750000,6,5,6,1,95000,475000,570000,-95000,-20.0,Bogotá,Nublado,Sobrecosto,2025-04-17,2025-02-24,106,-52
7,Edificio Corporativo Torre Norte,Comercial,Acabados,Pintura,Pintura,Galón,14,90000,1260000,11,13,11,-2,90000,1170000,990000,180000,15.384615384615383,Bogotá,Nublado,Ahorro,2025-03-26,2025-01-30,84,-55
4,Conjunto Horizonte Verde,Residencial,Estructura,Vaciado,Concreto,m3,14,350000,4900000,20,17,20,3,130000,2210000,2600000,-390000,-17.647058823529413,Bogotá,Lluvia,Sobrecosto,2025-03-29,2025-02-03,87,-54
6,Centro Comercial Plaza Central,Comercial,Cimentación,Armado,Acero,Kg,85,4500,382500,17,16,17,1,130000,2080000,2210000,-130000,-6.25,Bogotá,Lluvia,Sobrecosto,2025-04-01,2025-03-18,90,-14
8,Mall Gran Avenida,Comercial,Cimentación,Armado,Acero,Kg,88,4500,396000,15,18,15,-3,130000,2340000,1950000,390000,16.666666666666664,Bogotá,Soleado,Ahorro,2025-03-15,2025-01-23,73,-51
4,Conjunto Horizonte Verde,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,7,250000,1750000,6,7,6,-1,95000,665000,570000,95000,14.285714285714285,Bogotá,Soleado,Ahorro,2025-03-27,2025-02-20,85,-35
2,Conjunto Cerrado Villa Campestre,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,4,250000,1000000,3,4,3,-1,95000,380000,285000,95000,25.0,Bogotá,Nublado,Ahorro,2025-03-30,2025-01-22,88,-67
8,Mall Gran Avenida,Comercial,Estructura,Armado,Acero,Kg,110,4500,495000,20,26,20,-6,130000,3380000,2600000,780000,23.07692307692308,Bogotá,Soleado,Ahorro,2025-03-20,2025-03-02,78,-18
7,Edificio Corporativo Torre Norte,Comercial,Cimentación,Armado,Acero,Kg,87,4500,391500,19,24,19,-5,130000,3120000,2470000,650000,20.833333333333336,Bogotá,Soleado,Ahorro,2025-03-31,2025-01-23,89,-67
7,Edificio Corporativo Torre Norte,Comercial,Cimentación,Vaciado,Concreto,m3,14,350000,4900000,20,21,20,-1,130000,2730000,2600000,130000,4.761904761904762,Bogotá,Soleado,Ahorro,2025-03-28,2025-03-09,86,-19
7,Edificio Corporativo Torre Norte,Comercial,Estructura,Vaciado,Concreto,m3,6,350000,2100000,26,32,26,-6,130000,4160000,3380000,780000,18.75,Bogotá,Soleado,Ahorro,2025-03-29,2025-03-04,87,-25
0,Conjunto Residencial Marsella,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,7,250000,1750000,5,5,5,0,95000,475000,475000,0,0.0,Bogotá,Soleado,En presupuesto,2025-03-17,2025-02-01,75,-44
9,Centro Empresarial Nova,Comercial,Equipamiento,Instalación closet,MDF,Unidad,15,200000,3000000,6,6,6,0,110000,660000,660000,0,0.0,Bogotá,Soleado,En presupuesto,2025-03-21,2025-03-01,79,-20
9,Centro Empresarial Nova,Comercial,Equipamiento,Lavadero,Lavadero,Unidad,7,250000,1750000,4,5,4,-1,95000,475000,380000,95000,20.0,Bogotá,Soleado,Ahorro,2025-03-24,2025-01-22,82,-61
8,Mall Gran Avenida,Comercial,Equipamiento,Instalación closet,MDF,Unidad,15,200000,3000000,10,12,10,-2,110000,1320000,1100000,220000,16.666666666666664,Bogotá,Soleado,Ahorro,2025-03-19,2025-02-03,77,-44
1,Urbanización Los Almendros,Residencial,Cimentación,Vaciado,Concreto,m3,15,350000,5250000,22,28,22,-6,130000,3640000,2860000,780000,21.428571428571427,Bogotá,Soleado,Ahorro,2025-03-15,2025-02-23,73,-20
5,Residencial Jardines del Sur,Residencial,Cimentación,Vaciado,Concreto,m3,10,350000,3500000,23,28,23,-5,130000,3640000,2990000,650000,17.857142857142858,Bogotá,Soleado,Ahorro,2025-04-13,2025-03-22,102,-22
7,Edificio Corporativo Torre Norte,Comercial,Equipamiento,Instalación cocina,MDF,Unidad,16,200000,3200000,13,11,13,2,110000,1210000,1430000,-220000,-18.181818181818183,Bogotá,Lluvia,Sobrecosto,2025-03-25,2025-02-12,83,-41
3,Residencial Altos del Norte,Residencial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,9,300000,2700000,5,4,5,1,100000,400000,500000,-100000,-25.0,Bogotá,Nublado,Sobrecosto,2025-04-14,2025-02-17,103,-56
8,Mall Gran Avenida,Comercial,Acabados,Estuco,Estuco plástico,Bulto,27,30000,810000,9,10,9,-1,95000,950000,855000,95000,10.0,Bogotá,Soleado,Ahorro,2025-03-17,2025-02-25,75,-20
5,Residencial Jardines del Sur,Residencial,Cimentación,Vaciado,Concreto,m3,13,350000,4550000,21,18,21,3,130000,2340000,2730000,-390000,-16.666666666666664,Bogotá,Lluvia,Sobrecosto,2025-04-17,2025-02-09,106,-67
9,Centro Empresarial Nova,Comercial,Cimentación,Vaciado,Concreto,m3,11,350000,3850000,28,29,28,-1,130000,3770000,3640000,130000,3.4482758620689653,Bogotá,Nublado,Ahorro,2025-03-31,2025-02-19,89,-40
1,Urbanización Los Almendros,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,7,250000,1750000,4,4,4,0,95000,380000,380000,0,0.0,Bogotá,Soleado,En presupuesto,2025-03-16,2025-02-22,74,-22
1,Urbanización Los Almendros,Residencial,Equipamiento,Instalación cocina,MDF,Unidad,12,200000,2400000,14,16,14,-2,110000,1760000,1540000,220000,12.5,Bogotá,Soleado,Ahorro,2025-03-20,2025-02-20,78,-28
3,Residencial Altos del Norte,Residencial,Instalaciones,Eléctrica,Punto eléctrico,Punto,5,120000,600000,10,12,10,-2,120000,1440000,1200000,240000,16.666666666666664,Bogotá,Nublado,Ahorro,2025-04-12,2025-01-27,101,-75
3,Residencial Altos del Norte,Residencial,Instalaciones,Gas,Punto gas,Punto,20,130000,2600000,10,10,10,0,120000,1200000,1200000,0,0.0,Bogotá,Soleado,En presupuesto,2025-04-20,2025-01-30,109,-80
4,Conjunto Horizonte Verde,Residencial,Cimentación,Armado,Acero,Kg,120,4500,540000,22,27,22,-5,130000,3510000,2860000,650000,18.51851851851852,Bogotá,Soleado,Ahorro,2025-03-28,2025-03-21,86,-7
7,Edificio Corporativo Torre Norte,Comercial,Cimentación,Vaciado,Concreto,m3,10,350000,3500000,20,25,20,-5,130000,3250000,2600000,650000,20.0,Bogotá,Soleado,Ahorro,2025-03-30,2025-03-16,88,-14
2,Conjunto Cerrado Villa Campestre,Residencial,Estructura,Armado,Acero,Kg,101,4500,454500,25,21,25,4,130000,2730000,3250000,-520000,-19.047619047619047,Bogotá,Nublado,Sobrecosto,2025-04-02,2025-03-16,91,-17
2,Conjunto Cerrado Villa Campestre,Residencial,Acabados,Pintura,Pintura,Galón,15,90000,1350000,18,18,18,0,90000,1620000,1620000,0,0.0,Bogotá,Nublado,En presupuesto,2025-04-04,2025-03-09,93,-26
2,Conjunto Cerrado Villa Campestre,Residencial,Acabados,Pintura,Pintura,Galón,5,90000,450000,15,13,15,2,90000,1170000,1350000,-180000,-15.384615384615383,Bogotá,Lluvia,Sobrecosto,2025-03-31,2025-03-05,89,-26
0,Conjunto Residencial Marsella,Residencial,Acabados,Enchape,Cerámica,m2,18,50000,900000,14,17,14,-3,105000,1785000,1470000,315000,17.647058823529413,Bogotá,Soleado,Ahorro,2025-03-14,2025-03-03,72,-11
5,Residencial Jardines del Sur,Residencial,Acabados,Cielorraso,Drywall,Lámina,25,40000,1000000,13,14,13,-1,100000,1400000,1300000,100000,7.142857142857142,Bogotá,Soleado,Ahorro,2025-04-17,2025-02-08,106,-68
4,Conjunto Horizonte Verde,Residencial,Cimentación,Armado,Acero,Kg,80,4500,360000,19,24,19,-5,130000,3120000,2470000,650000,20.833333333333336,Bogotá,Nublado,Ahorro,2025-04-04,2025-03-13,93,-22
6,Centro Comercial Plaza Central,Comercial,Cimentación,Vaciado,Concreto,m3,13,350000,4550000,17,15,17,2,130000,1950000,2210000,-260000,-13.333333333333334,Bogotá,Nublado,Sobrecosto,2025-04-05,2025-02-06,94,-58
7,Edificio Corporativo Torre Norte,Comercial,Equipamiento,Lavadero,Lavadero,Unidad,1,250000,250000,4,3,4,1,95000,285000,380000,-95000,-33.33333333333333,Bogotá,Nublado,Sobrecosto,2025-03-27,2025-01-24,85,-62
7,Edificio Corporativo Torre Norte,Comercial,Equipamiento,Instalación closet,MDF,Unidad,19,200000,3800000,7,7,7,0,110000,770000,770000,0,0.0,Bogotá,Soleado,En presupuesto,2025-03-30,2025-01-09,88,-80
5,Residencial Jardines del Sur,Residencial,Cimentación,Vaciado,Concreto,m3,10,350000,3500000,24,24,24,0,130000,3120000,3120000,0,0.0,Bogotá,Nublado,En presupuesto,2025-04-15,2025-03-06,104,-40
1,Urbanización Los Almendros,Residencial,Cimentación,Vaciado,Concreto,m3,8,350000,2800000,17,17,17,0,130000,2210000,2210000,0,0.0,Bogotá,Nublado,En presupuesto,2025-03-22,2025-02-28,80,-22
6,Centro Comercial Plaza Central,Comercial,Acabados,Enchape,Cerámica,m2,43,50000,2150000,18,23,18,-5,105000,2415000,1890000,525000,21.73913043478261,Bogotá,Soleado,Ahorro,2025-04-06,2025-01-26,95,-70
0,Conjunto Residencial Marsella,Residencial,Acabados,Estuco,Estuco plástico,Bulto,13,30000,390000,14,14,14,0,95000,1330000,1330000,0,0.0,Bogotá,Soleado,En presupuesto,2025-03-17,2025-02-06,75,-39
4,Conjunto Horizonte Verde,Residencial,Estructura,Armado,Acero,Kg,107,4500,481500,27,25,27,2,130000,3250000,3510000,-260000,-8.0,Bogotá,Nublado,Sobrecosto,2025-04-06,2025-02-15,95,-50
5,Residencial Jardines del Sur,Residencial,Acabados,Pintura,Pintura,Galón,7,90000,630000,18,17,18,1,90000,1530000,1620000,-90000,-5.88235294117647,Bogotá,Lluvia,Sobrecosto,2025-04-16,2025-02-06,105,-69
7,Edificio Corporativo Torre Norte,Comercial,Estructura,Armado,Acero,Kg,82,4500,369000,24,29,24,-5,130000,3770000,3120000,650000,17.24137931034483,Bogotá,Soleado,Ahorro,2025-03-29,2025-02-06,87,-51
2,Conjunto Cerrado Villa Campestre,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,4,250000,1000000,6,6,6,0,95000,570000,570000,0,0.0,Bogotá,Soleado,En presupuesto,2025-03-31,2025-02-18,89,-41
8,Mall Gran Avenida,Comercial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,6,300000,1800000,5,6,5,-1,100000,600000,500000,100000,16.666666666666664,Bogotá,Nublado,Ahorro,2025-03-19,2025-02-04,77,-43
2,Conjunto Cerrado Villa Campestre,Residencial,Cimentación,Armado,Acero,Kg,82,4500,369000,28,35,28,-7,130000,4550000,3640000,910000,20.0,Bogotá,Nublado,Ahorro,2025-03-31,2025-01-29,89,-61
2,Conjunto Cerrado Villa Campestre,Residencial,Cimentación,Armado,Acero,Kg,98,4500,441000,18,19,18,-1,130000,2470000,2340000,130000,5.263157894736842,Bogotá,Soleado,Ahorro,2025-04-04,2025-03-13,93,-22
4,Conjunto Horizonte Verde,Residencial,Instalaciones,Eléctrica,Punto eléctrico,Punto,12,120000,1440000,18,21,18,-3,120000,2520000,2160000,360000,14.285714285714285,Bogotá,Nublado,Ahorro,2025-03-31,2025-02-10,89,-49
1,Urbanización Los Almendros,Residencial,Instalaciones,Contra incendio,Punto incendio,Punto,12,180000,2160000,17,18,17,-1,120000,2160000,2040000,120000,5.555555555555555,Bogotá,Soleado,Ahorro,2025-03-19,2025-01-29,77,-49
8,Mall Gran Avenida,Comercial,Equipamiento,Lavadero,Lavadero,Unidad,10,250000,2500000,4,4,4,0,95000,380000,380000,0,0.0,Bogotá,Soleado,En presupuesto,2025-03-20,2025-02-24,78,-24
5,Residencial Jardines del Sur,Residencial,Equipamiento,Instalación closet,MDF,Unidad,14,200000,2800000,11,11,11,0,110000,1210000,1210000,0,0.0,Bogotá,Nublado,En presupuesto,2025-04-19,2025-01-17,108,-92
9,Centro Empresarial Nova,Comercial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,2,300000,600000,9,11,9,-2,100000,1100000,900000,200000,18.181818181818183,Bogotá,Soleado,Ahorro,2025-03-25,2025-01-26,83,-58
8,Mall Gran Avenida,Comercial,Equipamiento,Instalación closet,MDF,Unidad,7,200000,1400000,9,12,9,-3,110000,1320000,990000,330000,25.0,Bogotá,Soleado,Ahorro,2025-03-25,2025-02-05,83,-48
0,Conjunto Residencial Marsella,Residencial,Equipamiento,Instalación cocina,MDF,Unidad,13,200000,2600000,13,12,13,1,110000,1320000,1430000,-110000,-8.333333333333332,Bogotá,Lluvia,Sobrecosto,2025-03-18,2025-03-07,76,-11
9,Centro Empresarial Nova,Comercial,Equipamiento,Instalación closet,MDF,Unidad,10,200000,2000000,11,10,11,1,110000,1100000,1210000,-110000,-10.0,Bogotá,Lluvia,Sobrecosto,2025-03-30,2025-01-28,88,-61
6,Centro Comercial Plaza Central,Comercial,Cimentación,Vaciado,Concreto,m3,8,350000,2800000,22,25,22,-3,130000,3250000,2860000,390000,12.0,Bogotá,Soleado,Ahorro,2025-04-03,2025-02-23,92,-39
0,Conjunto Residencial Marsella,Residencial,Cimentación,Armado,Acero,Kg,100,4500,450000,21,27,21,-6,130000,3510000,2730000,780000,22.22222222222222,Bogotá,Soleado,Ahorro,2025-03-24,2025-02-19,82,-33
8,Mall Gran Avenida,Comercial,Estructura,Vaciado,Concreto,m3,8,350000,2800000,21,20,21,1,130000,2600000,2730000,-130000,-5.0,Bogotá,Lluvia,Sobrecosto,2025-03-21,2025-03-19,79,-2
0,Conjunto Residencial Marsella,Residencial,Estructura,Vaciado,Concreto,m3,8,350000,2800000,23,27,23,-4,130000,3510000,2990000,520000,14.814814814814811,Bogotá,Soleado,Ahorro,2025-03-26,2025-02-21,84,-33
8,Mall Gran Avenida,Comercial,Instalaciones,Gas,Punto gas,Punto,5,130000,650000,11,9,11,2,120000,1080000,1320000,-240000,-22.22222222222222,Bogotá,Lluvia,Sobrecosto,2025-03-20,2025-01-15,78,-64
4,Conjunto Horizonte Verde,Residencial,Equipamiento,Instalación closet,MDF,Unidad,6,200000,1200000,7,8,7,-1,110000,880000,770000,110000,12.5,Bogotá,Nublado,Ahorro,2025-04-02,2025-01-12,91,-80
0,Conjunto Residencial Marsella,Residencial,Equipamiento,Instalación closet,MDF,Unidad,5,200000,1000000,10,10,10,0,110000,1100000,1100000,0,0.0,Bogotá,Nublado,En presupuesto,2025-03-24,2025-01-26,82,-57
9,Centro Empresarial Nova,Comercial,Equipamiento,Instalación cocina,MDF,Unidad,9,200000,1800000,11,10,11,1,110000,1100000,1210000,-110000,-10.0,Bogotá,Lluvia,Sobrecosto,2025-04-04,2025-03-06,93,-29
6,Centro Comercial Plaza Central,Comercial,Equipamiento,Lavadero,Lavadero,Unidad,8,250000,2000000,4,4,4,0,95000,380000,380000,0,0.0,Bogotá,Soleado,En presupuesto,2025-04-06,2025-02-05,95,-60
8,Mall Gran Avenida,Comercial,Instalaciones,Contra incendio,Punto incendio,Punto,19,180000,3420000,15,15,15,0,120000,1800000,1800000,0,0.0,Bogotá,Soleado,En presupuesto,2025-03-19,2025-02-21,77,-26
9,Centro Empresarial Nova,Comercial,Instalaciones,Sanitaria,Punto sanitario,Punto,15,150000,2250000,14,15,14,-1,120000,1800000,1680000,120000,6.666666666666667,Bogotá,Soleado,Ahorro,2025-03-28,2025-01-24,86,-63
0,Conjunto Residencial Marsella,Residencial,Cimentación,Armado,Acero,Kg,99,4500,445500,20,21,20,-1,130000,2730000,2600000,130000,4.761904761904762,Bogotá,Nublado,Ahorro,2025-03-20,2025-02-13,78,-35
9,Centro Empresarial Nova,Comercial,Cimentación,Armado,Acero,Kg,113,4500,508500,19,19,19,0,130000,2470000,2470000,0,0.0,Bogotá,Nublado,En presupuesto,2025-04-06,2025-03-10,95,-27
2,Conjunto Cerrado Villa Campestre,Residencial,Acabados,Estuco,Estuco plástico,Bulto,12,30000,360000,14,15,14,-1,95000,1425000,1330000,95000,6.666666666666667,Bogotá,Soleado,Ahorro,2025-04-03,2025-02-02,92,-60
5,Residencial Jardines del Sur,Residencial,Acabados,Pintura,Pintura,Galón,6,90000,540000,12,14,12,-2,90000,1260000,1080000,180000,14.285714285714285,Bogotá,Soleado,Ahorro,2025-04-20,2025-01-29,109,-81
4,Conjunto Horizonte Verde,Residencial,Acabados,Enchape,Cerámica,m2,11,50000,550000,13,11,13,2,105000,1155000,1365000,-210000,-18.181818181818183,Bogotá,Lluvia,Sobrecosto,2025-04-08,2025-03-13,97,-26
0,Conjunto Residencial Marsella,Residencial,Cimentación,Armado,Acero,Kg,112,4500,504000,25,29,25,-4,130000,3770000,3250000,520000,13.79310344827586,Bogotá,Nublado,Ahorro,2025-03-26,2025-03-21,84,-5
9,Centro Empresarial Nova,Comercial,Cimentación,Armado,Acero,Kg,91,4500,409500,15,15,15,0,130000,1950000,1950000,0,0.0,Bogotá,Nublado,En presupuesto,2025-04-01,2025-03-13,90,-19
2,Conjunto Cerrado Villa Campestre,Residencial,Acabados,Estuco,Estuco plástico,Bulto,21,30000,630000,13,13,13,0,95000,1235000,1235000,0,0.0,Bogotá,Nublado,En presupuesto,2025-04-03,2025-03-14,92,-20
0,Conjunto Residencial Marsella,Residencial,Acabados,Enchape,Cerámica,m2,22,50000,1100000,10,12,10,-2,105000,1260000,1050000,210000,16.666666666666664,Bogotá,Nublado,Ahorro,2025-03-26,2025-02-10,84,-44
3,Residencial Altos del Norte,Residencial,Estructura,Armado,Acero,Kg,96,4500,432000,27,27,27,0,130000,3510000,3510000,0,0.0,Bogotá,Soleado,En presupuesto,2025-04-21,2025-01-30,110,-81
1,Urbanización Los Almendros,Residencial,Acabados,Pintura,Pintura,Galón,7,90000,630000,17,18,17,-1,90000,1620000,1530000,90000,5.555555555555555,Bogotá,Soleado,Ahorro,2025-03-27,2025-01-24,85,-62
0,Conjunto Residencial Marsella,Residencial,Acabados,Enchape,Cerámica,m2,32,50000,1600000,13,14,13,-1,105000,1470000,1365000,105000,7.142857142857142,Bogotá,Soleado,Ahorro,2025-03-25,2025-02-14,83,-39
7,Edificio Corporativo Torre Norte,Comercial,Cimentación,Armado,Acero,Kg,103,4500,463500,19,17,19,2,130000,2210000,2470000,-260000,-11.76470588235294,Bogotá,Lluvia,Sobrecosto,2025-04-04,2025-02-25,93,-38
3,Residencial Altos del Norte,Residencial,Cimentación,Armado,Acero,Kg,83,4500,373500,20,23,20,-3,130000,2990000,2600000,390000,13.043478260869565,Bogotá,Soleado,Ahorro,2025-04-20,2025-02-21,109,-58
3,Residencial Altos del Norte,Residencial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,9,300000,2700000,6,6,6,0,100000,600000,600000,0,0.0,Bogotá,Soleado,En presupuesto,2025-04-17,2025-03-07,106,-41
4,Conjunto Horizonte Verde,Residencial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,5,300000,1500000,6,7,6,-1,100000,700000,600000,100000,14.285714285714285,Bogotá,Soleado,Ahorro,2025-04-04,2025-02-01,93,-62
8,Mall Gran Avenida,Comercial,Instalaciones,Acueducto,Punto agua,Punto,18,140000,2520000,13,13,13,0,120000,1560000,1560000,0,0.0,Bogotá,Soleado,En presupuesto,2025-03-23,2025-02-25,81,-26
6,Centro Comercial Plaza Central,Comercial,Instalaciones,Gas,Punto gas,Punto,7,130000,910000,15,13,15,2,120000,1560000,1800000,-240000,-15.384615384615383,Bogotá,Lluvia,Sobrecosto,2025-04-04,2025-01-22,93,-72
2,Conjunto Cerrado Villa Campestre,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,7,250000,1750000,4,4,4,0,95000,380000,380000,0,0.0,Bogotá,Soleado,En presupuesto,2025-04-08,2025-02-01,97,-66
2,Conjunto Cerrado Villa Campestre,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,7,250000,1750000,6,5,6,1,95000,475000,570000,-95000,-20.0,Bogotá,Nublado,Sobrecosto,2025-04-03,2025-02-26,92,-36
2,Conjunto Cerrado Villa Campestre,Residencial,Estructura,Armado,Acero,Kg,104,4500,468000,16,15,16,1,130000,1950000,2080000,-130000,-6.666666666666667,Bogotá,Lluvia,Sobrecosto,2025-04-07,2025-02-28,96,-38
4,Conjunto Horizonte Verde,Residencial,Estructura,Vaciado,Concreto,m3,13,350000,4550000,19,22,19,-3,130000,2860000,2470000,390000,13.636363636363637,Bogotá,Nublado,Ahorro,2025-04-04,2025-01-28,93,-66
8,Mall Gran Avenida,Comercial,Acabados,Estuco,Estuco plástico,Bulto,16,30000,480000,8,9,8,-1,95000,855000,760000,95000,11.11111111111111,Bogotá,Soleado,Ahorro,2025-03-22,2025-01-20,80,-61
5,Residencial Jardines del Sur,Residencial,Acabados,Pintura,Pintura,Galón,10,90000,900000,14,13,14,1,90000,1170000,1260000,-90000,-7.6923076923076925,Bogotá,Lluvia,Sobrecosto,2025-04-24,2025-01-19,113,-95
1,Urbanización Los Almendros,Residencial,Cimentación,Armado,Acero,Kg,87,4500,391500,26,33,26,-7,130000,4290000,3380000,910000,21.21212121212121,Bogotá,Soleado,Ahorro,2025-03-25,2025-03-15,83,-10
3,Residencial Altos del Norte,Residencial,Cimentación,Armado,Acero,Kg,92,4500,414000,22,19,22,3,130000,2470000,2860000,-390000,-15.789473684210526,Bogotá,Lluvia,Sobrecosto,2025-04-20,2025-03-12,109,-39
2,Conjunto Cerrado Villa Campestre,Residencial,Cimentación,Vaciado,Concreto,m3,8,350000,2800000,15,19,15,-4,130000,2470000,1950000,520000,21.052631578947366,Bogotá,Soleado,Ahorro,2025-04-08,2025-03-08,97,-31
2,Conjunto Cerrado Villa Campestre,Residencial,Cimentación,Armado,Acero,Kg,112,4500,504000,25,22,25,3,130000,2860000,3250000,-390000,-13.636363636363637,Bogotá,Lluvia,Sobrecosto,2025-04-15,2025-01-30,104,-75
0,Conjunto Residencial Marsella,Residencial,Cimentación,Armado,Acero,Kg,94,4500,423000,24,21,24,3,130000,2730000,3120000,-390000,-14.285714285714285,Bogotá,Lluvia,Sobrecosto,2025-03-29,2025-02-03,87,-54
5,Residencial Jardines del Sur,Residencial,Cimentación,Armado,Acero,Kg,109,4500,490500,22,19,22,3,130000,2470000,2860000,-390000,-15.789473684210526,Bogotá,Nublado,Sobrecosto,2025-04-25,2025-02-15,114,-69
3,Residencial Altos del Norte,Residencial,Cimentación,Vaciado,Concreto,m3,7,350000,2450000,26,26,26,0,130000,3380000,3380000,0,0.0,Bogotá,Nublado,En presupuesto,2025-04-26,2025-03-06,115,-51
7,Edificio Corporativo Torre Norte,Comercial,Cimentación,Vaciado,Concreto,m3,12,350000,4200000,16,18,16,-2,130000,2340000,2080000,260000,11.11111111111111,Bogotá,Soleado,Ahorro,2025-04-03,2025-02-19,92,-43
2,Conjunto Cerrado Villa Campestre,Residencial,Cimentación,Armado,Acero,Kg,98,4500,441000,29,30,29,-1,130000,3900000,3770000,130000,3.333333333333333,Bogotá,Soleado,Ahorro,2025-04-13,2025-03-28,102,-16
4,Conjunto Horizonte Verde,Residencial,Cimentación,Armado,Acero,Kg,88,4500,396000,28,31,28,-3,130000,4030000,3640000,390000,9.67741935483871,Bogotá,Nublado,Ahorro,2025-04-07,2025-02-24,96,-42
8,Mall Gran Avenida,Comercial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,2,300000,600000,5,5,5,0,100000,500000,500000,0,0.0,Bogotá,Nublado,En presupuesto,2025-03-24,2025-02-01,82,-51
3,Residencial Altos del Norte,Residencial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,10,300000,3000000,8,9,8,-1,100000,900000,800000,100000,11.11111111111111,Bogotá,Soleado,Ahorro,2025-04-24,2025-01-12,113,-102
3,Residencial Altos del Norte,Residencial,Acabados,Cielorraso,Drywall,Lámina,12,40000,480000,13,14,13,-1,100000,1400000,1300000,100000,7.142857142857142,Bogotá,Nublado,Ahorro,2025-04-24,2025-02-06,113,-77
7,Edificio Corporativo Torre Norte,Comercial,Acabados,Estuco,Estuco plástico,Bulto,11,30000,330000,8,7,8,1,95000,665000,760000,-95000,-14.285714285714285,Bogotá,Lluvia,Sobrecosto,2025-04-10,2025-02-02,99,-67
0,Conjunto Residencial Marsella,Residencial,Acabados,Estuco,Estuco plástico,Bulto,22,30000,660000,11,11,11,0,95000,1045000,1045000,0,0.0,Bogotá,Soleado,En presupuesto,2025-03-29,2025-01-12,87,-76
7,Edificio Corporativo Torre Norte,Comercial,Cimentación,Vaciado,Concreto,m3,7,350000,2450000,16,17,16,-1,130000,2210000,2080000,130000,5.88235294117647,Bogotá,Soleado,Ahorro,2025-04-10,2025-03-16,99,-25
2,Conjunto Cerrado Villa Campestre,Residencial,Cimentación,Vaciado,Concreto,m3,15,350000,5250000,18,23,18,-5,130000,2990000,2340000,650000,21.73913043478261,Bogotá,Soleado,Ahorro,2025-04-13,2025-02-18,102,-54
4,Conjunto Horizonte Verde,Residencial,Cimentación,Vaciado,Concreto,m3,7,350000,2450000,21,25,21,-4,130000,3250000,2730000,520000,16.0,Bogotá,Soleado,Ahorro,2025-04-07,2025-02-03,96,-63
1,Urbanización Los Almendros,Residencial,Cimentación,Vaciado,Concreto,m3,9,350000,3150000,23,24,23,-1,130000,3120000,2990000,130000,4.166666666666666,Bogotá,Soleado,Ahorro,2025-03-24,2025-03-15,82,-9
4,Conjunto Horizonte Verde,Residencial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,2,300000,600000,5,6,5,-1,100000,600000,500000,100000,16.666666666666664,Bogotá,Soleado,Ahorro,2025-04-13,2025-02-17,102,-55
3,Residencial Altos del Norte,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,4,250000,1000000,5,6,5,-1,95000,570000,475000,95000,16.666666666666664,Bogotá,Soleado,Ahorro,2025-04-22,2025-01-13,111,-99
8,Mall Gran Avenida,Comercial,Acabados,Cielorraso,Drywall,Lámina,28,40000,1120000,13,12,13,1,100000,1200000,1300000,-100000,-8.333333333333332,Bogotá,Lluvia,Sobrecosto,2025-03-23,2025-03-04,81,-19
5,Residencial Jardines del Sur,Residencial,Acabados,Cielorraso,Drywall,Lámina,12,40000,480000,15,14,15,1,100000,1400000,1500000,-100000,-7.142857142857142,Bogotá,Lluvia,Sobrecosto,2025-04-23,2025-02-16,112,-66
